id;rooms;address;price;lat;lon;canton;url
809;3;La Chaux-de-Fonds, Rue Louis-Agassiz 10;900;47.0968411;6.8120459;Neuchatel;https://www.immobilier.ch/en/rent/apartment/neuchatel/chaux-fonds/service-batiments-logement-1982/rue-louis-agassiz-10-apartment-1st-floor-east-903543
810;3;La Chaux-de-Fonds, Rue du Locle 22;820;47.0923979;6.8120361;Neuchatel;https://www.immobilier.ch/en/rent/apartment/neuchatel/chaux-fonds/hypoimmo-950/3-room-apartment-on-the-ground-floor-in-chaux-fonds-1341975
811;3;La Chaux-de-Fonds, Rue du Locle 22;790;47.0923979;6.8120361;Neuchatel;https://www.immobilier.ch/en/rent/apartment/neuchatel/chaux-fonds/hypoimmo-950/well-located-3-room-apartment-in-chaux-fonds-1342263
812;4.5;La Chaux-de-Fonds, Rue du Cygne 8;1990;47.1016108;6.8265604;Neuchatel;https://www.immobilier.ch/en/rent/apartment/neuchatel/chaux-fonds/gerofinance-agences-location-2217/ideal-location-designer-45-room-apartment-in-the-heart-of-chaux-fonds-1350903
813;3;La Chaux-de-Fonds, Rue Numa-Droz 159;830;47.0977164;6.8174272;Neuchatel;https://www.immobilier.ch/en/rent/apartment/neuchatel/chaux-fonds/pro-immob-119/for-rent-apartment-2300-chaux-fonds-68230100101-1293532
814;4.5;Le Landeron, Condémines 18;1570;47.0570614;7.0702523;Neuchatel;https://www.immobilier.ch/en/rent/apartment/neuchatel/landeron/regie-immobiliere-jouval-113/magnificent-45-room-apartment-with-terrace-and-garden-1294780
815;2;La Chaux-de-Fonds, Croix-Fédérale 36;650;47.1051500;6.8419569;Neuchatel;https://www.immobilier.ch/en/rent/apartment/neuchatel/chaux-fonds/fidimmobil-118/for-rent-apartment-2300-chaux-fonds-i150102-1367260
816;2;Boudry, Fbg Philippe-Suchard 34;800;46.9552210;6.8317516;Neuchatel;https://www.immobilier.ch/en/rent/apartment/neuchatel/boudry/naef-immobilier-neuchatel-115/appartement-deux-pieces-proche-commodites-1161340
817;3;Neuchâtel, Rue des Fahys 59;1270;46.9996880;6.9411200;Neuchatel;https://www.immobilier.ch/en/rent/apartment/neuchatel/neuchatel/livit-ag-real-estate-management-675/fully-renovated-accommodation-159964
818;3.5;Boudry, Philippe-Suchard 46;1290;46.9552686;6.8335278;Neuchatel;https://www.immobilier.ch/en/rent/apartment/neuchatel/boudry/regie-immobiliere-jouval-113/magnificent-35-room-apartment-with-balcony-in-boudry-1381468
819;3.5;Neuchâtel, Draizes 61;1570;46.9888812;6.9003766;Neuchatel;https://www.immobilier.ch/en/rent/apartment/neuchatel/neuchatel/fidimmobil-118/for-rent-attic-flat-2000-neuchatel-e07440203-1381756
820;2.5;La Chaux-de-Fonds, Avenue Léopold-Robert 145b;1025;47.0951723;6.8177856;Neuchatel;https://www.immobilier.ch/en/rent/apartment/neuchatel/chaux-fonds/pro-immob-119/for-rent-apartment-2300-chaux-fonds-19080200102-1319452
821;3;Fleurier, Rue de Buttes 10;850;46.9010433;6.5769532;Neuchatel;https://www.immobilier.ch/en/rent/apartment/neuchatel/fleurier/fiduciaire-jaques-1579/3-room-apartment-1107484
822;1;La Chaux-de-Fonds, Rue Blaise-Cendrars 7;440;47.0897110;6.8064756;Neuchatel;https://www.immobilier.ch/en/rent/apartment/neuchatel/chaux-fonds/bolliger-immobilier-111/beautiful-apartment-with-balcony-and-pretty-view-968956
823;3.5;Neuchâtel, Rue Pain-Blanc 21;1250;46.9819602;6.8979755;Neuchatel;https://www.immobilier.ch/en/rent/apartment/neuchatel/neuchatel/caisse-pensions-migros-ecublens-1557/where-life-is-good-539164
824;1.5;La Chaux-de-Fonds, Rue de la Charrière 89;610;47.1133021;6.8381909;Neuchatel;https://www.immobilier.ch/en/rent/apartment/neuchatel/chaux-fonds/patrimoine-gerance-125/15-room-apartment-completely-renovated-1331260
825;3.5;La Chaux-de-Fonds, Jardinière 93;800;47.0993119;6.8213869;Neuchatel;https://www.immobilier.ch/en/rent/apartment/neuchatel/chaux-fonds/gerance-charles-berset-136/00489-3-room-apartment-planter-93-chaux-fonds-328924
826;2.5;Couvet, Rue du Crêt-de-l'Eau 13;1250;46.9213385;6.6331490;Neuchatel;https://www.immobilier.ch/en/rent/apartment/neuchatel/couvet/gpc-gerance-ppe-courtage-1582/cret-eau-13-couvet-25-room-apartment-on-the-1st-floor-1336732
827;3;Couvet, Rue du Progrès 15;890;46.9225599;6.6280382;Neuchatel;https://www.immobilier.ch/en/rent/apartment/neuchatel/couvet/naef-immobilier-neuchatel-115/bel-appartement-situe-quartier-calme-verdoyant-1343356
828;2;La Chaux-de-Fonds, Espacité 2;910;47.1024659;6.8283281;Neuchatel;https://www.immobilier.ch/en/rent/apartment/neuchatel/chaux-fonds/wincasa-siege-602/rental-with-free-deposit-1349884
829;3;Les Ponts-de-Martel, Rue du Collège 1;720;46.9984936;6.7305101;Neuchatel;https://www.immobilier.ch/en/rent/apartment/neuchatel/les-ponts-martel/reysus-gerance-1551/college-1-in-ponts-martel-35-rooms-on-the-1st-floor-1282492
830;3;La Chaux-de-Fonds, Nord 168;950;47.1230987;6.8427828;Neuchatel;https://www.immobilier.ch/en/rent/apartment/neuchatel/chaux-fonds/bolliger-immobilier-111/pretty-accommodation-with-balcony-929884
831;3;La Chaux-de-Fonds, Rue des Bassets 72;900;47.1141815;6.8379181;Neuchatel;https://www.immobilier.ch/en/rent/apartment/neuchatel/chaux-fonds/bolliger-immobilier-111/quiet-3-rooms-with-balcony-and-fitted-kitchen-883841
832;5.5;La Chaux-de-Fonds, Rue de la Charrière 56;1298;47.1107400;6.8342139;Neuchatel;https://www.immobilier.ch/en/rent/apartment/neuchatel/chaux-fonds/hypoimmo-950/beautiful-55-room-apartment-with-large-balcony-in-chaux-fonds-1388225
833;4.5;La Chaux-de-Fonds, Saint-Gothard 28;1278;47.0915689;6.8184398;Neuchatel;https://www.immobilier.ch/en/rent/apartment/neuchatel/chaux-fonds/fidimmobil-118/for-rent-apartment-2300-chaux-fonds-d480206-1246241
834;3;Neuchâtel, Rue Guillaume-Ritter 9;1436;46.9925270;6.9166380;Neuchatel;https://www.immobilier.ch/en/rent/apartment/neuchatel/neuchatel/livit-ag-real-estate-management-675/bright-accommodation-247265
835;3;Neuchâtel, Promenade-Noire 1;2540;46.9901230;6.9277815;Neuchatel;https://www.immobilier.ch/en/rent/apartment/neuchatel/neuchatel/livit-ag-real-estate-management-675/real-gem-465665
836;3;La Chaux-de-Fonds, Rue de l'Hôtel-de-Ville 42;750;47.1001658;6.8346675;Neuchatel;https://www.immobilier.ch/en/rent/apartment/neuchatel/chaux-fonds/michel-wolf-1108/beautiful-3-room-apartment-in-chaux-fonds-1331201
837;4;La Chaux-de-Fonds, Rue des Musées 32;850;47.1006069;6.8290216;Neuchatel;https://www.immobilier.ch/en/rent/apartment/neuchatel/chaux-fonds/naef-immobilier-chaux-fonds-121/appartement-4-pieces-rez-chaussee-1127681
838;2;Le Locle, Chemin de la Malakoff 22;710;47.0603530;6.7567796;Neuchatel;https://www.immobilier.ch/en/rent/apartment/neuchatel/locle/hypoimmo-950/bright-2-room-apartment-on-the-3rd-floor-1283105
839;N/A;La Chaux-de-Fonds, Léopold-Robert 105;965;47.0975097;6.8214810;Neuchatel;https://www.immobilier.ch/en/rent/apartment/neuchatel/chaux-fonds/gerance-charles-berset-136/01850-apartment-premises-leopold-robert-105-chaux-fonds-288774
840;6;Les Brenets, L'Augémont 122;1300;47.0717813;6.7171612;Neuchatel;https://www.immobilier.ch/en/rent/apartment/neuchatel/les-brenets/ellipsis-710/charming-6-room-duplex-in-an-old-farmhouse-1368390
841;2;La Chaux-de-Fonds, Rue de l'Etoile 3;745;47.1039158;6.8359517;Neuchatel;https://www.immobilier.ch/en/rent/apartment/neuchatel/chaux-fonds/gerance-cpcn-2497/nice-apartment-close-to-all-amenities-1369734
842;4;La Chaux-de-Fonds, Rue du Nord 214;1150;47.0989342;6.8145824;Neuchatel;https://www.immobilier.ch/en/rent/apartment/neuchatel/chaux-fonds/metropole-gerance-immeubles-1652/new-4-room-apartment-1231782
843;3.5;Neuchâtel, Rue de Tivoli 14;1215;46.9840722;6.9064574;Neuchatel;https://www.immobilier.ch/en/rent/apartment/neuchatel/neuchatel/fidimmobil-118/for-rent-apartment-2000-neuchatel-3690101-1381158
844;3;Neuchâtel, Rue de l'Evole 56-58;1232;46.9876878;6.9168207;Neuchatel;https://www.immobilier.ch/en/rent/apartment/neuchatel/neuchatel/livit-ag-real-estate-management-675/enjoy-sunny-accommodation-742278
845;4;La Chaux-de-Fonds, Rocher 20;850;47.1015220;6.8335990;Neuchatel;https://www.immobilier.ch/en/rent/apartment/neuchatel/chaux-fonds/gerance-charles-berset-136/01873-4-rooms-apartment-rocher-20-chaux-fonds-172326
846;4.5;Les Geneveys-sur-Coffrane, Rue des Prélets 24;800;47.0150960;6.8532170;Neuchatel;https://www.immobilier.ch/en/rent/apartment/neuchatel/les-geneveys-coffrane/ribaux-von-kessel-services-immobiliers-117/apartment-in-les-geneveys-coffrane-1392294
847;3.5;La Chaux-de-Fonds, Rue du Grenier 32-32bis;800;47.1005578;6.8318143;Neuchatel;https://www.immobilier.ch/en/rent/apartment/neuchatel/chaux-fonds/naef-immobilier-chaux-fonds-121/magnifique-35-pieces-entierement-renove-1322502
848;3.5;Neuchâtel, Rue des Charmettes 36;1435;46.9880894;6.8985362;Neuchatel;https://www.immobilier.ch/en/rent/apartment/neuchatel/neuchatel/naef-immobilier-neuchatel-115/appartement-1328934
849;4.5;Peseux, Rue des Combes 2A-2B;2375;46.9885075;6.8939263;Neuchatel;https://www.immobilier.ch/en/rent/apartment/neuchatel/peseux/ribaux-von-kessel-services-immobiliers-117/apartment-in-peseux-with-urban-view-470214
850;4.5;Hauterive NE, Verger Clottu 3;2480;47.0146575;6.9719728;Neuchatel;https://www.immobilier.ch/en/rent/apartment/neuchatel/hauterive-ne/fidimmobil-118/for-rent-apartment-2068-hauterive-ne-e040203-1331430
851;2;La Chaux-de-Fonds, Sorbiers 23;583;47.1079486;6.8280624;Neuchatel;https://www.immobilier.ch/en/rent/apartment/neuchatel/chaux-fonds/gerance-charles-berset-136/02260-2-room-apartment-sorbiers-23-chaux-fonds-1119750
852;4;Le Locle, Rte du Communal 8;880;47.0532122;6.7534805;Neuchatel;https://www.immobilier.ch/en/rent/apartment/neuchatel/locle/the-swatch-group-immeubles-632/4-room-apartment-for-rent-1267302
853;3;La Chaux-de-Fonds, Rue de l'Eclair 16;880;47.0926339;6.8058823;Neuchatel;https://www.immobilier.ch/en/rent/apartment/neuchatel/chaux-fonds/service-batiments-logement-1982/rue-l39eclair-16-2nd-floor-apartment-west-1342758
854;4;Les Geneveys-sur-Coffrane, Premiers-Mars 49;1250;47.0132966;6.8481822;Neuchatel;https://www.immobilier.ch/en/rent/apartment/neuchatel/les-geneveys-coffrane/patrimoine-gerance-125/4-room-apartment-with-balcony-1354470
855;3.5;Neuchâtel, Rue des Fahys 47;1390;46.9993597;6.9407980;Neuchatel;https://www.immobilier.ch/en/rent/apartment/neuchatel/neuchatel/nexium-immobilier-sarl-2860/magnificent-35-room-apartment-fully-renovated-1369099
856;3.5;Cortaillod, Chemin de Chanélaz 5;1450;46.9510105;6.8512592;Neuchatel;https://www.immobilier.ch/en/rent/apartment/neuchatel/cortaillod/fidimmobil-118/for-rent-apartment-2016-cortaillod-3330203-1371979
857;4;Le Locle, Rue Jehan-droz 15;730;47.0549570;6.7455346;Neuchatel;https://www.immobilier.ch/en/rent/apartment/neuchatel/locle/pro-immob-119/for-rent-apartment-2400-locle-46450200301-1163083
858;3.5;Peseux, Chemin des Carrels 11G;1290;46.9892138;6.8967979;Neuchatel;https://www.immobilier.ch/en/rent/apartment/neuchatel/peseux/fidimmobil-118/for-rent-apartment-2034-peseux-1200106-1307947
859;3;La Chaux-de-Fonds, Serre 9;890;47.1037826;6.8298062;Neuchatel;https://www.immobilier.ch/en/rent/apartment/neuchatel/chaux-fonds/gerance-charles-berset-136/01036-3-room-apartment-serre-9-chaux-fonds-306667
860;3;La Chaux-de-Fonds, Charles-Naine 16;970;47.0925648;6.8082713;Neuchatel;https://www.immobilier.ch/en/rent/apartment/neuchatel/chaux-fonds/bolliger-immobilier-111/beautiful-renovated-3-room-apartment-1245259
861;2.5;La Chaux-de-Fonds, Avenue Léopold-Robert 145b;1045;47.0951723;6.8177856;Neuchatel;https://www.immobilier.ch/en/rent/apartment/neuchatel/chaux-fonds/pro-immob-119/for-rent-apartment-2300-chaux-fonds-19080200301-1319467
862;2.5;La Chaux-de-Fonds, Rue du Commerce 79;780;47.0944671;6.8203891;Neuchatel;https://www.immobilier.ch/en/rent/apartment/neuchatel/chaux-fonds/patrimoine-gerance-125/25-room-apartment-with-balcony-1346251
863;3;Le Locle, Rue de la Gare 12;570;47.0583352;6.7483312;Neuchatel;https://www.immobilier.ch/en/rent/apartment/neuchatel/locle/pro-immob-119/for-rent-apartment-2400-locle-46440100302-1163120
864;4.5;Fleurier, Rue du Levant 2;1190;46.9050380;6.5901421;Neuchatel;https://www.immobilier.ch/en/rent/apartment/neuchatel/fleurier/regie-immobiliere-jouval-113/beautiful-45-room-apartment-with-balcony-in-fleurier-1380176
865;3;La Chaux-de-Fonds, Rue de la Serre 45;1000;47.1013213;6.8261309;Neuchatel;https://www.immobilier.ch/en/rent/apartment/neuchatel/chaux-fonds/bolliger-immobilier-111/nice-accommodation-with-balcony-1166672
866;4.5;La Chaux-de-Fonds, Rue du Cygne 4;1730;47.1016234;6.8269041;Neuchatel;https://www.immobilier.ch/en/rent/apartment/neuchatel/chaux-fonds/gerofinance-agences-location-2217/spacious-45-room-apartment-1324976
867;2;La Chaux-de-Fonds, Rue Louis-Agassiz 10;750;47.0968411;6.8120459;Neuchatel;https://www.immobilier.ch/en/rent/apartment/neuchatel/chaux-fonds/service-batiments-logement-1982/rue-louis-agassiz-10-apartment-1st-floor-west-1326608
868;N/A;2300 La Chaux-de-Fonds, Contact agency for the address;700;47.0903200;6.8258150;Neuchatel;https://www.immobilier.ch/en/rent/apartment/neuchatel/chaux-fonds/isabelle-cornu-pehlivanlar-1892/pretty-25-rooms-completely-renovated-with-beautiful-new-fitted-kitchen-682352
869;1;Neuchâtel, Rue des Parcs 129;810;46.9908939;6.9150501;Neuchatel;https://www.immobilier.ch/en/rent/apartment/neuchatel/neuchatel/naef-immobilier-neuchatel-115/appartement-1369845
870;4;La Chaux-de-Fonds, Temple-Allemand 63;1094;47.1029842;6.8229070;Neuchatel;https://www.immobilier.ch/en/rent/apartment/neuchatel/chaux-fonds/gerance-charles-berset-136/01133-4-room-apartment-temple-allemand-63-chaux-fonds-1370133
871;3.5;Le Locle, Rue du Foyer 15;700;47.0571401;6.7560079;Neuchatel;https://www.immobilier.ch/en/rent/apartment/neuchatel/locle/bolliger-immobilier-111/35-room-apartment-on-the-ground-floor-1375413
872;1.5;Le Locle, Rue Bournot 33;800;47.0562825;6.7477540;Neuchatel;https://www.immobilier.ch/en/rent/apartment/neuchatel/locle/bolliger-immobilier-111/nice-accommodation-close-to-all-renovated-amenities-1092597
873;4;Neuchâtel, Rue du Rocher 36;1753;46.9981467;6.9333425;Neuchatel;https://www.immobilier.ch/en/rent/apartment/neuchatel/neuchatel/naef-immobilier-neuchatel-115/appartement-5eme-4-pieces-78-1318869
874;2.5;La Chaux-de-Fonds, Avenue Léopold-Robert 145b;875;47.0951723;6.8177856;Neuchatel;https://www.immobilier.ch/en/rent/apartment/neuchatel/chaux-fonds/pro-immob-119/for-rent-apartment-2300-chaux-fonds-19080200001-1319445
875;2.5;La Chaux-de-Fonds, Avenue Léopold-Robert 145b;1025;47.0951723;6.8177856;Neuchatel;https://www.immobilier.ch/en/rent/apartment/neuchatel/chaux-fonds/pro-immob-119/for-rent-apartment-2300-chaux-fonds-19080200302-1319829
876;4;Les Geneveys-sur-Coffrane, Rue Bellevue 13;990;47.0150960;6.8532170;Neuchatel;https://www.immobilier.ch/en/rent/apartment/neuchatel/les-geneveys-coffrane/ribaux-von-kessel-services-immobiliers-117/apartment-in-les-geneveys-coffrane-with-village-1277205
877;3;Peseux, Placeules 3;1218;46.9845144;6.8856676;Neuchatel;https://www.immobilier.ch/en/rent/apartment/neuchatel/peseux/naef-immobilier-neuchatel-115/bel-appartement-3-pieces-rez-chaussee-1211253
878;2;2400 Le Locle, Contact agency for the address;700;47.0530910;6.7477997;Neuchatel;https://www.immobilier.ch/en/rent/apartment/neuchatel/locle/betterhomes-schweiz-ag-611/3-net-rent-guarantees-offered-1385050
879;3;La Chaux-de-Fonds, Arc-en-Ciel 4;790;47.1154938;6.8397237;Neuchatel;https://www.immobilier.ch/en/rent/apartment/neuchatel/chaux-fonds/service-batiments-logement-1982/rue-l39arc-ciel-4-apartment-3rd-north-east-753274
880;4.5;La Chaux-de-Fonds, Croix Fédérale 44;1270;47.1055945;6.8428583;Neuchatel;https://www.immobilier.ch/en/rent/apartment/neuchatel/chaux-fonds/wincasa-siege-602/spacious-45-room-apartment-with-balcony-free-deposit-1326970
881;2;La Chaux-de-Fonds, Rue des Olives 2;690;47.0982586;6.8331885;Neuchatel;https://www.immobilier.ch/en/rent/apartment/neuchatel/chaux-fonds/service-batiments-logement-1982/rue-olives-2-apartment-1st-center-1331290
882;3;La Chaux-de-Fonds, Rue de la Serre 45;850;47.1013213;6.8261309;Neuchatel;https://www.immobilier.ch/en/rent/apartment/neuchatel/chaux-fonds/bolliger-immobilier-111/nice-accommodation-with-balcony-1196218
883;3.5;Le Locle, Avenue du Collège 6A;710;47.0601355;6.7558634;Neuchatel;https://www.immobilier.ch/en/rent/apartment/neuchatel/locle/hypoimmo-950/beautiful-very-bright-35-room-apartment-in-locle-1354906
884;4.5;Neuchâtel, Rue des Parcs 129;1700;46.9908939;6.9150501;Neuchatel;https://www.immobilier.ch/en/rent/apartment/neuchatel/neuchatel/naef-immobilier-neuchatel-115/appartement-1360762
885;4.5;La Chaux-de-Fonds, Rue Jaquet-Droz 6;1200;47.1021863;6.8307225;Neuchatel;https://www.immobilier.ch/en/rent/apartment/neuchatel/chaux-fonds/naef-immobilier-chaux-fonds-121/appartement-1221311
886;2.5;La Chaux-de-Fonds, Crêtets 85;1250;47.0942417;6.8222821;Neuchatel;https://www.immobilier.ch/en/rent/apartment/neuchatel/chaux-fonds/bolliger-immobilier-111/-1374623
887;3.5;La Chaux-de-Fonds, Rue de la Paix 89;1160;47.0993326;6.8207113;Neuchatel;https://www.immobilier.ch/en/rent/apartment/neuchatel/chaux-fonds/bolliger-immobilier-111/35-rooms-completely-renovated-in-2023-883775
888;3;La Chaux-de-Fonds, Rue du Locle 24;770;47.0923433;6.8119314;Neuchatel;https://www.immobilier.ch/en/rent/apartment/neuchatel/chaux-fonds/naef-immobilier-chaux-fonds-121/appartement-1385951
889;3.5;Hauterive NE, Rue de la Croix d'Or 9;1950;47.0132681;6.9721906;Neuchatel;https://www.immobilier.ch/en/rent/apartment/neuchatel/hauterive-ne/michel-wolf-1108/magnificent-35-room-apartment-in-hauterive-with-character-1314719
890;4.5;St-Blaise, Chemin de la Plage 26;1700;47.0126637;6.9803822;Neuchatel;https://www.immobilier.ch/en/rent/apartment/neuchatel/st-blaise/gpc-gerance-ppe-courtage-1582/chemin-plage-26-saint-blaise-45-room-apartment-2nd-floor-1390463
891;2;Neuchâtel, Rue de la Côte 135;930;46.9929285;6.9193553;Neuchatel;https://www.immobilier.ch/en/rent/apartment/neuchatel/neuchatel/littoral-gerance-127/partially-renovated-2-room-apartment-on-the-1st-basement-level-1391807
892;4;La Chaux-de-Fonds, Rue des Musées;1100;47.1006754;6.8291464;Neuchatel;https://www.immobilier.ch/en/rent/apartment/neuchatel/chaux-fonds/zimmermann-immobilier-772/apartment-499-1251071
893;1;Marin-Epagnier, Rue des Couviers 4;900;47.0076073;7.0038124;Neuchatel;https://www.immobilier.ch/en/rent/apartment/neuchatel/marin-epagnier/isabelle-cornu-pehlivanlar-1892/sailor-studio-682367
894;4.5;Neuchâtel, avenue du vignoble 4;3175;47.0055995;6.9580710;Neuchatel;https://www.immobilier.ch/en/rent/apartment/neuchatel/neuchatel/naef-immobilier-neuchatel-115/magnifique-appartement-duplex-dernier-etage-vue-lac-1261727
895;3;La Chaux-de-Fonds, Rue du Succès 31;1160;47.0974206;6.8120779;Neuchatel;https://www.immobilier.ch/en/rent/apartment/neuchatel/chaux-fonds/service-batiments-logement-1982/completely-renovated-rue-succes-31-apartment-on-the-east-ground-floor-990719
896;N/A;La Chaux-de-Fonds, Rue Numa-Droz 155;1200;47.0978888;6.8177018;Neuchatel;https://www.immobilier.ch/en/rent/apartment/neuchatel/chaux-fonds/ellipsis-710/spacious-5-room-apartment-1279583
897;N/A;Neuchâtel, Rue de l'Hôpital 2;50;46.9920260;6.9304824;Neuchatel;https://www.immobilier.ch/en/rent/apartment/neuchatel/neuchatel/reysus-gerance-1551/hospital-2-2000-neuchatel-location-for-advertising-sign-1227588
898;2;Neuchâtel, Rue Frédéric-Carl-de-Marval 8;1220;47.0052615;6.9596430;Neuchatel;https://www.immobilier.ch/en/rent/apartment/neuchatel/neuchatel/naef-immobilier-neuchatel-115/appartement-1375812
899;3;La Chaux-de-Fonds, Boucle de Cydalise 14;800;47.1122386;6.8311696;Neuchatel;https://www.immobilier.ch/en/rent/apartment/neuchatel/chaux-fonds/service-batiments-logement-1982/fully-renovated-boucle-cydalise-14-1st-south-apartment-884580
